Filename,Number of Triples,File Size (KB)
HN1869,1454,168.1630859375
HN1697,754,85.75
HN1371,1445,167.2958984375
HN1500,1451,167.7587890625
HN1259,679,77.283203125
HN1395,745,85.2763671875
HN1308,696,78.8623046875
HN1197,1449,167.3984375
HN1079,1474,169.75390625
HN1067,671,76.486328125
HN1096,778,88.875
HN1200,648,73.7001953125
HN1323,776,88.1513671875
HN1517,1451,167.8486328125
HN1703,1121,128.865234375
HN1851,2247,261.396484375
HN1860,669,76.8125
HN1555,1441,166.1474609375
HN1813,743,84.9423828125
HN1022,1447,167.4453125
HN1357,1447,167.125
HN1342,741,85.5107421875
HN1192,749,85.0478515625
HN1123,1452,167.5703125
HN1117,1450,167.8173828125
HN1901,723,82.533203125
HN1057,1451,167.8994140625
HN1102,1453,167.736328125
HN1139,1451,167.7568359375
HN1412,753,85.45703125
HN1968,1447,167.6201171875
HN1444,1418,164.45703125
HN1046,764,87.052734375
HN1026,1439,166.66015625
HN1029,1462,168.26171875
HN1368,1461,167.9580078125
HN1417,1485,168.12890625
HN1118,1451,167.7509765625
HN1892,1445,167.404296875
HN1486,1444,167.2783203125
HN1088,760,86.3671875
HN1760,1439,165.546875
HN1092,681,77.0244140625
HN1748,771,87.2158203125
HN1469,1457,167.9716796875
HN1355,666,75.5654296875
HN1146,766,86.681640625
HN1648,1457,168.173828125
HN1572,704,79.810546875
HN1792,752,85.4765625
HN1077,689,79.2939453125
HN1485,1451,167.330078125
HN1271,722,82.5537109375
HN1310,1420,165.294921875
HN1719,735,83.3515625
HN1006,1457,167.9384765625
HN1244,957,110.150390625
HN1339,749,85.96875
HN1215,1454,167.955078125
HN1653,1451,167.55078125
HN1356,659,74.4296875
HN1170,1442,167.23828125
HN1083,1424,165.64453125
HN1367,707,79.9384765625
HN1815,1456,167.779296875
HN1372,769,87.2041015625
HN1062,1423,165.341796875
HN1461,1445,167.0146484375
HN1429,1650,190.384765625
HN1514,694,79.544921875
HN1180,1448,167.2802734375
HN1465,1448,167.5595703125
HN1519,720,81.744140625
HN1319,1127,129.64453125
HN1294,1454,168.1826171875
HN1600,1414,164.8681640625
HN1060,724,81.76953125
HN1047,1405,163.6220703125
HN1998,2100,244.634765625
HN1363,1448,167.6572265625
HN1987,1462,168.4169921875
HN1074,1451,167.4765625
HN1483,647,73.1533203125
HN1081,1448,167.513671875
HN1054,1454,167.6787109375
HN1004,830,94.5390625
HN1562,1422,165.1923828125
HN1127,1457,168.2255859375
HN1106,1418,164.8603515625
HN1501,739,83.5576171875
HN1910,610,69.1982421875
HN1950,1461,167.7265625
HN1487,762,86.328125
HN1791,1475,168.361328125
HN1400,758,85.921875
HN1369,680,77.03515625
HN1095,1448,167.2890625
HN1827,1477,167.9140625
HN1554,762,87.8583984375
HN1488,777,88.01953125
HN1560,718,81.572265625
HN1201,1458,167.9765625
HN1900,1444,167.26171875
HN1679,1419,165.265625
HN1640,1457,168.08203125
HN1442,1454,168.0810546875
HN1524,881,102.0224609375
HN1913,690,78.5029296875
HN1208,702,79.6630859375
HN1538,1453,167.8095703125
HN1609,694,79.306640625
HN1344,1451,167.5126953125
HN1879,1457,168.3154296875
HN1610,1459,168.0458984375
HN1305,1454,167.99609375
HN1502,766,86.8837890625
HN1135,922,105.482421875
HN1280,1423,165.3720703125
HN1260,670,75.705078125
HN1159,720,82.322265625
HN1954,584,66.162109375
HN1324,1444,166.962890625
HN1549,657,74.3212890625
HN1922,1451,167.8330078125
HN1331,701,79.5673828125
HN1667,737,85.0771484375
HN1839,979,111.6982421875
HN1263,640,72.2548828125
HN1491,758,85.84765625
HN1896,1438,166.5087890625
HN1175,1436,166.6796875
HN1793,1456,168.3076171875
HN1080,1451,167.8818359375
HN1327,1415,164.9404296875
HN1838,802,91.501953125
HN1805,767,87.8408203125
HN1933,1454,168.1279296875
